sku,manufacturer_guess,category_guess,room_name,archetype,level,hit_count_in_file,source_txt
AN-820-AP-I,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,Level 2,5,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__a6627a73b593.txt
EA-AMP-SUB-1D-500R,Control4,Controller,500W Subwoofer Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__a6627a73b593.txt
AN-420-SW-F-24-POE,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__a6627a73b593.txt
AN-520-RT,Araknis,Networking,520-Series Dual-WAN Rtr,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__a6627a73b593.txt
AN-620-SW-R-8-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__a6627a73b593.txt
AN-SFP-10-D-1,Araknis,Networking,1m SFP+ Transceiver Module,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__a6627a73b593.txt
EA-DYN-16D-100,Control4,Controller,Dynamic Class-D Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__a6627a73b593.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__a6627a73b593.txt
AMS-16,TS,Audio Matrix,Whole-Home Audio System,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
EA-DYN-16D-100,Control4,Controller,Whole-Home Audio System,Unknown,,2,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
EA-AMP-SUB-1D-500R,Control4,Controller,500W Subwoofer Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
AN-520-RT,Araknis,Networking,520-Series Dual-WAN Rtr,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
AN-620-SW-R-8-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
AN-SFP-10-D-1,Araknis,Networking,1m SFP+ Transceiver Module,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
AN-420-SW-F-24-POE,Araknis,Networking,1m SFP+ Transceiver Module,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
AN-820-AP-I,Araknis,Networking,Premium Floor Standing Rack,Mechanical/Utility,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Kelly Residence Kelly Residence P-107 Control4 Upgrade Q-177 V1.pdf__dae11e479581.txt
AN-820-AP-I,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,Level 1,6,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Louis Rinn 352 Red Bluffs P-85 TVsNetwork Q-140 V1.pdf__1e7cadb2b010.txt
AN-320-SW-R-16,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,Level 1,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Louis Rinn 352 Red Bluffs P-85 TVsNetwork Q-140 V1.pdf__1e7cadb2b010.txt
